STATE,COUNTY,B20004_006E,B20004_003E,B20004_001E,STATE_NAME
1,1,0.0,0.0,0.0,Alabama
1,3,0.0311,0.1211,0.085,Alabama
1,5,0.0553,0.0,0.0,Alabama
1,7,0.0415,0.0,0.0,Alabama
1,9,0.0,0.0,0.0,Alabama
1,11,0.1105,0.0,0.0,Alabama
1,13,0.0,0.1077,0.0,Alabama
1,15,0.0535,0.125,0.2638,Alabama
1,17,0.0737,0.1077,0.3028,Alabama
1,19,0.0276,0.0,0.0,Alabama
1,21,0.0737,0.0,0.0,Alabama
1,23,0.1244,0.0,0.0,Alabama
1,25,0.0921,0.1077,0.0,Alabama
1,27,0.0415,0.0,0.0,Alabama
1,29,0.0829,0.0,0.0,Alabama
1,31,0.0,0.0,0.0,Alabama
1,33,0.0592,0.0,0.0,Alabama
1,35,0.1326,0.0,0.0,Alabama
1,37,0.0553,0.0,0.0,Alabama
1,39,0.0355,0.0,0.0,Alabama
1,41,0.0276,0.0,0.0,Alabama
1,43,0.0184,0.0,0.0,Alabama
1,45,0.0355,0.0,0.0,Alabama
1,47,0.0774,0.1292,0.0,Alabama
1,49,0.0355,0.0,0.0,Alabama
1,51,0.0111,0.0,0.0,Alabama
1,53,0.0368,0.0,0.0,Alabama
1,55,0.0608,0.0323,0.0,Alabama
1,57,0.0332,0.0,0.0,Alabama
1,59,0.0553,0.1077,0.0,Alabama
1,61,0.0,0.0,0.0,Alabama
1,63,0.1105,0.0,0.0,Alabama
1,65,0.1105,0.0,0.0,Alabama
1,67,0.0276,0.0,0.0,Alabama
1,69,0.0377,0.0,0.0,Alabama
1,71,0.0301,0.0,0.0,Alabama
1,73,0.0427,0.0594,0.0,Alabama
1,75,0.0,0.0,0.0,Alabama
1,77,0.0377,0.0,0.0,Alabama
1,79,0.0,0.0,0.0,Alabama
1,81,0.0307,0.1077,0.1008,Alabama
1,83,0.0207,0.0,0.0,Alabama
1,85,0.0829,0.0,0.0,Alabama
1,87,0.0415,0.2423,0.4543,Alabama
1,89,0.025,0.0531,0.0,Alabama
1,91,0.0553,0.0,0.0,Alabama
1,93,0.0,0.0,0.0,Alabama
1,95,0.0276,0.0,0.0,Alabama
1,97,0.0533,0.059,0.0474,Alabama
1,99,0.0711,0.0,0.0,Alabama
1,101,0.0357,0.0448,0.0,Alabama
1,103,0.043,0.0,0.0,Alabama
1,105,0.1105,0.323,0.0,Alabama
1,107,0.0663,0.0,0.0,Alabama
1,109,0.0207,0.0,0.0,Alabama
1,111,0.0276,0.0,0.0,Alabama
1,113,0.051,0.0,0.0,Alabama
1,115,0.051,0.0,0.0,Alabama
1,117,0.0138,0.0807,0.0567,Alabama
1,119,0.0415,0.0,0.0,Alabama
1,121,0.0528,0.0441,0.0,Alabama
1,123,0.0332,0.0,0.0,Alabama
1,125,0.0318,0.1238,0.0,Alabama
1,127,0.0553,0.0539,0.0,Alabama
1,129,0.0332,0.3876,0.0,Alabama
1,131,0.0415,0.0,0.0,Alabama
1,133,0.0711,0.0,0.0,Alabama
2,13,0.0,0.0,0.0,Alaska
2,16,0.0,0.0,0.0,Alaska
2,20,0.003,0.0353,0.0,Alaska
2,50,0.0,0.0,0.0,Alaska
2,60,0.0,0.0,0.0,Alaska
2,68,0.1658,0.0,0.0,Alaska
2,70,0.0829,0.0,0.0,Alaska
2,90,0.0349,0.0,0.0,Alaska
2,100,0.0,0.0,0.0,Alaska
2,105,0.0829,0.4846,0.0,Alaska
2,110,0.0276,0.1616,0.0,Alaska
2,122,0.0128,0.0,0.2096,Alaska
2,130,0.0,0.0,0.0,Alaska
2,150,0.0,0.1938,0.0,Alaska
2,158,0.1658,0.0,0.0,Alaska
2,164,0.0,0.0,0.0,Alaska
2,170,0.0069,0.0,0.0,Alaska
2,180,0.0,0.0,0.0,Alaska
2,185,0.0,0.0,0.0,Alaska
2,188,0.0829,0.0,0.0,Alaska
2,195,0.0,0.0,0.0,Alaska
2,198,0.0415,0.2423,0.6813,Alaska
2,220,0.0,0.0,0.0,Alaska
2,230,0.0,0.0,0.0,Alaska
2,240,0.0,0.0,0.0,Alaska
2,261,0.0,0.0,0.0,Alaska
2,275,0.0,0.0,0.0,Alaska
2,282,0.0,0.0,0.0,Alaska
2,290,0.0415,0.0,0.0,Alaska
4,1,0.0518,0.0,0.0,Arizona
4,3,0.0725,0.0,0.0,Arizona
4,5,0.0178,0.0692,0.0973,Arizona
4,7,0.0933,0.0,0.0,Arizona
4,9,0.0737,0.0,0.0,Arizona
4,11,0.1105,0.0,0.0,Arizona
4,12,0.0921,0.5384,0.3028,Arizona
4,13,0.0315,0.0815,0.0207,Arizona
4,15,0.081,0.0,0.0,Arizona
4,17,0.0481,0.0625,0.0,Arizona
4,19,0.0337,0.0885,0.0112,Arizona
4,21,0.0398,0.0646,0.0,Arizona
4,23,0.0497,0.0969,0.0,Arizona
4,25,0.0355,0.1153,0.0,Arizona
4,27,0.0814,0.1057,0.0992,Arizona
5,1,0.0415,0.0,0.0,Arkansas
5,3,0.0474,0.0,0.0,Arkansas
5,5,0.0737,0.0,0.0,Arkansas
5,7,0.0237,0.0198,0.0,Arkansas
5,9,0.0237,0.0,0.0,Arkansas
5,11,0.0995,0.0,0.0,Arkansas
5,13,0.0,0.0,0.0,Arkansas
5,15,0.0663,0.0,0.0,Arkansas
5,17,0.0829,0.0,0.0,Arkansas
5,19,0.0,0.0,0.0,Arkansas
5,21,0.0553,0.0,0.0,Arkansas
5,23,0.0474,0.0,0.0,Arkansas
5,25,0.0,0.0,0.0,Arkansas
5,27,0.0332,0.0,0.0,Arkansas
5,29,0.0276,0.0,0.0,Arkansas
5,31,0.0097,0.057,0.0,Arkansas
5,33,0.0452,0.0,0.0,Arkansas
5,35,0.0415,0.0969,0.0,Arkansas
5,37,0.0553,0.0,0.0,Arkansas
5,39,0.0553,0.0,0.0,Arkansas
5,41,0.0663,0.0,0.0,Arkansas
5,43,0.0663,0.0,0.0,Arkansas
5,45,0.0133,0.0,0.0,Arkansas
5,47,0.0,0.0,0.0,Arkansas
5,49,0.0829,0.0,0.0,Arkansas
5,51,0.0415,0.0,0.0,Arkansas
5,53,0.0415,0.0,0.0,Arkansas
5,55,0.0184,0.0,0.0,Arkansas
5,57,0.0332,0.0,0.0,Arkansas
5,59,0.0,0.0,0.0,Arkansas
5,61,0.0553,0.0,0.0,Arkansas
5,63,0.0207,0.0,0.0,Arkansas
5,65,0.0415,0.0,0.0,Arkansas
5,67,0.0995,0.0,0.0,Arkansas
5,69,0.076,0.0404,0.0,Arkansas
5,71,0.0276,0.0,0.0,Arkansas
5,73,0.0829,0.0,0.0,Arkansas
5,75,0.0276,0.0,0.0,Arkansas
5,77,0.1658,0.0,0.0,Arkansas
5,79,0.0415,0.0,0.0,Arkansas
5,81,0.0415,0.0,0.0,Arkansas
5,83,0.0276,0.0,0.0,Arkansas
5,85,0.0311,0.0,0.0,Arkansas
5,87,0.0,0.0,0.0,Arkansas
5,89,0.0,0.0,0.0,Arkansas
5,91,0.0691,0.0807,0.0,Arkansas
5,93,0.0138,0.0807,0.0,Arkansas
5,95,0.1105,0.0,0.0,Arkansas
5,97,0.0553,0.0,0.0,Arkansas
5,99,0.0553,0.0,0.0,Arkansas
5,101,0.0829,0.0,0.0,Arkansas
5,103,0.0276,0.0,0.0,Arkansas
5,105,0.1105,0.0,0.0,Arkansas
5,107,0.0829,0.0,0.0,Arkansas
5,109,0.0553,0.0,0.0,Arkansas
5,111,0.0237,0.0,0.0,Arkansas
5,113,0.0,0.0,0.0,Arkansas
5,115,0.0151,0.0,0.0,Arkansas
5,117,0.0,0.0,0.0,Arkansas
5,119,0.0297,0.051,0.0286,Arkansas
5,121,0.0,0.0,0.0,Arkansas
5,123,0.1105,0.0,0.0,Arkansas
5,125,0.0079,0.0,0.0,Arkansas
5,127,0.0553,0.0,0.0,Arkansas
5,129,0.1105,0.0,0.0,Arkansas
5,131,0.0191,0.0373,0.0,Arkansas
5,133,0.0,0.0,0.0,Arkansas
5,135,0.0,0.0,0.0,Arkansas
5,137,0.1105,0.0,0.0,Arkansas
5,139,0.0166,0.0,0.0,Arkansas
5,141,0.0663,0.0,0.0,Arkansas
5,143,0.0052,0.0302,0.0,Arkansas
5,145,0.0,0.0,0.0,Arkansas
5,147,0.0,0.0,0.0,Arkansas
5,149,0.0276,0.0,0.0,Arkansas
6,1,0.0087,0.1154,0.0226,California
6,3,0.0,0.0,0.0,California
6,5,0.0368,0.0,0.0,California
6,7,0.0488,0.114,0.0,California
6,9,0.0829,0.0969,0.2725,California
6,11,0.0332,0.0,0.0,California
6,13,0.016,0.1491,0.0131,California
6,15,0.1036,0.1211,0.3406,California
6,17,0.027,0.1127,0.1267,California
6,19,0.0692,0.0341,0.0,California
6,21,0.0553,0.0,0.0,California
6,23,0.0321,0.0938,0.088,California
6,25,0.0535,0.0625,0.0,California
6,27,0.0276,0.0,0.0,California
6,29,0.0615,0.0385,0.0,California
6,31,0.0553,0.0359,0.1008,California
6,33,0.0884,0.0646,0.0,California
6,35,0.0921,0.0,0.0,California
6,37,0.0368,0.1033,0.0395,California
6,39,0.0433,0.0843,0.0,California
6,41,0.0118,0.3461,0.0488,California
6,43,0.0,0.1616,0.0,California
6,45,0.0474,0.0923,0.1297,California
6,47,0.0711,0.0,0.0,California
6,49,0.0415,0.0,0.0,California
6,51,0.1105,0.6461,0.0,California
6,53,0.0547,0.1134,0.058,California
6,55,0.0124,0.1211,0.0,California
6,57,0.0249,0.0969,0.0,California
6,59,0.0165,0.103,0.0139,California
6,61,0.0176,0.1596,0.0322,California
6,63,0.0711,0.2769,0.0,California
6,65,0.0436,0.0363,0.006,California
6,67,0.0309,0.104,0.0,California
6,69,0.0301,0.0,0.0,California
6,71,0.0458,0.0315,0.0074,California
6,73,0.0206,0.0988,0.0131,California
6,75,0.0076,0.2213,0.0278,California
6,77,0.062,0.014,0.0,California
6,79,0.0215,0.1256,0.0504,California
6,81,0.0052,0.1595,0.0346,California
6,83,0.0239,0.1508,0.0907,California
6,85,0.0085,0.1901,0.0,California
6,87,0.0125,0.1829,0.0515,California
6,89,0.0518,0.0807,0.0,California
6,91,0.0,0.0,0.0,California
6,93,0.0592,0.0,0.0,California
6,95,0.0345,0.0909,0.0567,California
6,97,0.0066,0.0678,0.0273,California
6,99,0.0653,0.0103,0.0,California
6,101,0.0237,0.0,0.0,California
6,103,0.1055,0.0,0.0,California
6,105,0.0995,0.0,0.0,California
6,107,0.0616,0.0373,0.0,California
6,109,0.0603,0.0,0.0,California
6,111,0.021,0.078,0.0155,California
6,113,0.0121,0.1418,0.0,California
6,115,0.0711,0.0,0.0,California
8,1,0.0376,0.01,0.0281,Colorado
8,3,0.0,0.0,0.0,Colorado
8,5,0.0068,0.0329,0.0,Colorado
8,7,0.0,0.0,0.0,Colorado
8,9,0.0,0.0,0.0,Colorado
8,11,0.0,0.0,0.0,Colorado
8,13,0.0,0.1995,0.0,Colorado
8,14,0.0276,0.2153,0.4543,Colorado
8,15,0.0332,0.0,0.0,Colorado
8,17,0.0,0.0,0.0,Colorado
8,19,0.0553,0.0,0.0,Colorado
8,21,0.0,0.0,0.0,Colorado
8,23,0.0,0.0,0.0,Colorado
8,25,0.0,0.0,0.0,Colorado
8,27,0.0,0.0,0.0,Colorado
8,29,0.0474,0.0,0.0,Colorado
8,31,0.0184,0.1481,0.0188,Colorado
8,33,0.0,0.0,0.0,Colorado
8,35,0.0,0.1271,0.0,Colorado
8,37,0.0237,0.2077,0.1946,Colorado
8,39,0.0237,0.0,0.0,Colorado
8,41,0.0204,0.0521,0.0,Colorado
8,43,0.0592,0.2077,0.1946,Colorado
8,45,0.0,0.0,0.0,Colorado
8,47,0.0,0.0,0.0,Colorado
8,49,0.0553,0.0,0.0,Colorado
8,51,0.0,0.0,0.0,Colorado
8,53,0.0,0.0,0.0,Colorado
8,55,0.0829,0.0,0.0,Colorado
8,57,0.0,0.0,0.0,Colorado
8,59,0.0048,0.0422,0.0395,Colorado
8,61,0.0,0.0,0.0,Colorado
8,63,0.0553,0.0,0.0,Colorado
8,65,0.0829,0.0,0.0,Colorado
8,67,0.0,0.0,0.0,Colorado
8,69,0.0068,0.0398,0.0373,Colorado
8,71,0.0553,0.1616,0.0,Colorado
8,73,0.0,0.0,0.0,Colorado
8,75,0.0553,0.0,0.0,Colorado
8,77,0.0286,0.0,0.0,Colorado
8,79,0.0,0.0,0.0,Colorado
8,81,0.0,0.0,0.0,Colorado
8,83,0.0711,0.0,0.0,Colorado
8,85,0.0497,0.0,0.0,Colorado
8,87,0.0,0.0,0.0,Colorado
8,89,0.0,0.0,0.0,Colorado
8,91,0.0,0.0,0.0,Colorado
8,93,0.0663,0.1938,0.0,Colorado
8,95,0.0,0.0,0.0,Colorado
8,97,0.0,0.0,0.0,Colorado
8,99,0.0663,0.0,0.0,Colorado
8,101,0.0543,0.0881,0.0992,Colorado
8,103,0.0,0.0,0.0,Colorado
8,105,0.0,0.0,0.0,Colorado
8,107,0.0,0.1211,0.0,Colorado
8,109,0.0829,0.0,0.0,Colorado
8,111,0.0,0.0,0.0,Colorado
8,113,0.0,0.2423,0.0,Colorado
8,115,0.0,0.0,0.0,Colorado
8,117,0.0663,0.0,0.0,Colorado
8,119,0.0276,0.0,0.0,Colorado
8,121,0.0,0.0,0.0,Colorado
8,123,0.0215,0.0378,0.0,Colorado
8,125,0.0,0.0,0.0,Colorado
9,1,0.0181,0.1148,0.0128,Connecticut
9,3,0.0207,0.0346,0.0243,Connecticut
9,5,0.0162,0.019,0.0,Connecticut
9,7,0.0134,0.1048,0.0736,Connecticut
9,9,0.0201,0.0306,0.0144,Connecticut
9,11,0.0201,0.0294,0.0414,Connecticut
9,13,0.0057,0.1002,0.0,Connecticut
9,15,0.0066,0.0,0.0,Connecticut
10,1,0.0251,0.0587,0.0826,Delaware
10,3,0.0127,0.0592,0.0417,Delaware
10,5,0.0184,0.0718,0.1008,Delaware
11,1,0.013,0.2545,0.0153,District of Columbia
12,1,0.0148,0.1211,0.0488,Florida
12,3,0.0415,0.0,0.0,Florida
12,5,0.0377,0.0441,0.0619,Florida
12,7,0.1244,0.0,0.0,Florida
12,9,0.0204,0.068,0.0717,Florida
12,11,0.0256,0.0562,0.015,Florida
12,13,0.0553,0.0,0.0,Florida
12,15,0.0893,0.1491,0.0698,Florida
12,17,0.0651,0.0692,0.0973,Florida
12,19,0.0387,0.0,0.0,Florida
12,21,0.0538,0.1964,0.0368,Florida
12,23,0.0553,0.0,0.0,Florida
12,27,0.0368,0.0,0.0,Florida
12,29,0.1658,0.2423,0.6813,Florida
12,31,0.0267,0.039,0.0155,Florida
12,33,0.0461,0.0404,0.0379,Florida
12,35,0.0553,0.0923,0.1297,Florida
12,37,0.0553,0.4846,0.9083,Florida
12,39,0.0737,0.0,0.0,Florida
12,41,0.0663,0.0,0.0,Florida
12,43,0.0415,0.4846,0.6813,Florida
12,45,0.0829,0.2423,0.6813,Florida
12,47,0.1105,0.0,0.0,Florida
12,49,0.0276,0.0,0.0,Florida
12,51,0.0947,0.1385,0.3894,Florida
12,53,0.0516,0.0215,0.121,Florida
12,55,0.086,0.1435,0.3028,Florida
12,57,0.0377,0.0845,0.0935,Florida
12,59,0.0415,0.0,0.0,Florida
12,61,0.0642,0.1875,0.1758,Florida
12,63,0.0301,0.0,0.0,Florida
12,65,0.0415,0.2423,0.6813,Florida
12,67,0.0829,0.0,0.0,Florida
12,69,0.0563,0.0346,0.0,Florida
12,71,0.0447,0.1045,0.0654,Florida
12,73,0.0244,0.0712,0.0401,Florida
12,75,0.1161,0.0969,0.2725,Florida
12,77,0.0,0.0,0.0,Florida
12,79,0.0332,0.0,0.0,Florida
12,81,0.0378,0.0245,0.0689,Florida
12,83,0.0605,0.0461,0.0864,Florida
12,85,0.0322,0.1884,0.227,Florida
12,86,0.0323,0.0784,0.063,Florida
12,87,0.0588,0.1563,0.2638,Florida
12,89,0.0128,0.2237,0.2096,Florida
12,91,0.0193,0.0451,0.1267,Florida
12,93,0.0691,0.0807,0.227,Florida
12,95,0.024,0.0328,0.0131,Florida
12,97,0.0566,0.0236,0.0,Florida
12,99,0.0324,0.1663,0.0646,Florida
12,101,0.0594,0.029,0.0204,Florida
12,103,0.0256,0.0433,0.0221,Florida
12,105,0.0528,0.0189,0.0177,Florida
12,107,0.0878,0.057,0.1602,Florida
12,109,0.0202,0.1182,0.133,Florida
12,111,0.0553,0.0646,0.121,Florida
12,113,0.0255,0.0373,0.1049,Florida
12,115,0.0367,0.1122,0.0575,Florida
12,117,0.0116,0.0338,0.0,Florida
12,119,0.1047,0.102,0.1433,Florida
12,121,0.0474,0.0,0.0,Florida
12,123,0.0663,0.1938,0.545,Florida
12,125,0.0,0.0,0.0,Florida
12,127,0.0407,0.0255,0.024,Florida
12,129,0.0332,0.1938,0.545,Florida
12,131,0.0553,0.0807,0.227,Florida
12,133,0.0474,0.0,0.0,Florida
13,1,0.0,0.0,0.0,Georgia
13,3,0.0,0.0,0.0,Georgia
13,5,0.0553,0.0,0.0,Georgia
13,7,0.1658,0.0,0.0,Georgia
13,9,0.0184,0.0,0.0,Georgia
13,11,0.0,0.0,0.0,Georgia
13,13,0.0461,0.0,0.0,Georgia
13,15,0.0221,0.0,0.0,Georgia
13,17,0.1326,0.1938,0.0,Georgia
13,19,0.0829,0.0,0.0,Georgia
13,21,0.0716,0.022,0.0,Georgia
13,23,0.0553,0.0,0.0,Georgia
13,25,0.0,0.0,0.0,Georgia
13,27,0.0995,0.0,0.0,Georgia
13,29,0.0474,0.1385,0.3894,Georgia
13,31,0.0138,0.0,0.0,Georgia
13,33,0.0553,0.0,0.0,Georgia
13,35,0.0,0.0,0.0,Georgia
13,37,0.0829,0.0,0.0,Georgia
13,39,0.0452,0.0881,0.2477,Georgia
13,43,0.0553,0.0,0.0,Georgia
13,45,0.0097,0.0,0.0,Georgia
13,47,0.0452,0.0,0.0,Georgia
13,49,0.0829,0.0,0.0,Georgia
13,51,0.0253,0.1884,0.1515,Georgia
13,53,0.0663,0.0,0.0,Georgia
13,55,0.0,0.0,0.0,Georgia
13,57,0.0,0.0,0.0,Georgia
13,59,0.0221,0.2261,0.0,Georgia
13,61,0.1658,0.0,0.0,Georgia
13,63,0.0663,0.0194,0.0545,Georgia
13,65,0.0,0.0,0.0,Georgia
13,67,0.0055,0.0242,0.0,Georgia
13,69,0.0368,0.0,0.0,Georgia
13,71,0.0332,0.0,0.0,Georgia
13,73,0.0083,0.0485,0.0,Georgia
13,75,0.0,0.0,0.0,Georgia
13,77,0.0,0.0,0.0,Georgia
13,79,0.0,0.0,0.0,Georgia
13,81,0.0276,0.1616,0.0,Georgia
13,83,0.0415,0.0,0.0,Georgia
13,85,0.0553,0.0,0.0,Georgia
13,87,0.0237,0.0,0.0,Georgia
13,89,0.016,0.1203,0.0188,Georgia
13,91,0.0553,0.0,0.0,Georgia
13,93,0.0553,0.0,0.0,Georgia
13,95,0.0491,0.0,0.0,Georgia
13,97,0.0083,0.0,0.0,Georgia
13,99,0.0,0.0,0.0,Georgia
13,101,0.0,0.0,0.0,Georgia
13,103,0.0166,0.0,0.0,Georgia
13,105,0.0332,0.0,0.0,Georgia
13,107,0.0276,0.0,0.0,Georgia
13,109,0.0553,0.0,0.0,Georgia
13,111,0.0,0.0,0.0,Georgia
13,113,0.0083,0.1938,0.0,Georgia
13,115,0.0083,0.0,0.0,Georgia
13,117,0.0,0.0862,0.0,Georgia
13,119,0.0,0.0,0.0,Georgia
13,121,0.0228,0.1805,0.0267,Georgia
13,123,0.0,0.0,0.0,Georgia
13,125,0.0,0.0,0.0,Georgia
13,127,0.0104,0.0606,0.1703,Georgia
13,129,0.0368,0.0,0.0,Georgia
13,131,0.0,0.0,0.0,Georgia
13,133,0.0,0.0,0.0,Georgia
13,135,0.0117,0.0257,0.0,Georgia
13,137,0.0,0.0,0.0,Georgia
13,139,0.023,0.0,0.0,Georgia
13,141,0.1658,0.4846,0.0,Georgia
13,143,0.0332,0.0,0.0,Georgia
13,145,0.0,0.1938,0.0,Georgia
13,147,0.0995,0.0,0.0,Georgia
13,149,0.0,0.0,0.0,Georgia
13,151,0.0,0.0,0.0,Georgia
13,153,0.0288,0.0422,0.0,Georgia
13,155,0.0829,0.0,0.0,Georgia
13,157,0.0,0.0,0.0,Georgia
13,159,0.0,0.0,0.0,Georgia
13,161,0.0,0.0,0.0,Georgia
13,163,0.0415,0.0,0.0,Georgia
13,165,0.1658,0.0,0.0,Georgia
13,167,0.0553,0.0,0.0,Georgia
13,169,0.0553,0.0,0.0,Georgia
13,171,0.0,0.0,0.0,Georgia
13,173,0.0,0.0,0.0,Georgia
13,175,0.051,0.0,0.0,Georgia
13,177,0.0,0.0,0.0,Georgia
13,179,0.0442,0.0646,0.1818,Georgia
13,181,0.0,0.0,0.0,Georgia
13,183,0.1105,0.323,0.9083,Georgia
13,185,0.0265,0.0,0.0,Georgia
13,187,0.0,0.0,0.0,Georgia
13,189,0.0332,0.0,0.0,Georgia
13,191,0.1326,0.3876,1.0901,Georgia
13,193,0.1244,0.0,0.0,Georgia
13,195,0.0276,0.0,0.0,Georgia
13,197,0.0829,0.0,0.0,Georgia
13,199,0.0,0.0,0.0,Georgia
13,201,0.0,0.0,0.0,Georgia
13,205,0.0663,0.0,0.0,Georgia
13,207,0.0663,0.0,0.0,Georgia
13,209,0.0553,0.0,0.0,Georgia
13,211,0.0332,0.0,0.0,Georgia
13,213,0.0415,0.0,0.0,Georgia
13,215,0.0626,0.1097,0.0,Georgia
13,217,0.0,0.0,0.0,Georgia
13,219,0.0,0.0,0.0,Georgia
13,221,0.0,0.0,0.0,Georgia
13,223,0.0087,0.0,0.0,Georgia
13,225,0.0,0.0,0.0,Georgia
13,227,0.0553,0.0,0.0,Georgia
13,229,0.0415,0.0,0.0,Georgia
13,231,0.0,0.0,0.0,Georgia
13,233,0.0237,0.0,0.0,Georgia
13,235,0.0553,0.0,0.0,Georgia
13,237,0.0663,0.0,0.0,Georgia
13,239,0.0,0.0,0.0,Georgia
13,241,0.0,0.0,0.0,Georgia
13,243,0.0,0.0,0.0,Georgia
13,245,0.0494,0.0825,0.0,Georgia
13,247,0.0111,0.0646,0.0,Georgia
13,249,0.0,0.0,0.0,Georgia
13,251,0.0,0.0,0.0,Georgia
13,253,0.0553,0.0,0.0,Georgia
13,255,0.0829,0.0,0.0,Georgia
13,257,0.0332,0.0,0.0,Georgia
13,259,0.0829,0.0,0.0,Georgia
13,261,0.0207,0.0,0.0,Georgia
13,263,0.0,0.0,0.0,Georgia
13,265,0.0,0.0,0.0,Georgia
13,267,0.0332,0.1938,0.0,Georgia
13,269,0.0,0.0,0.0,Georgia
13,271,0.0553,0.0,0.0,Georgia
13,273,0.0415,0.2423,0.0,Georgia
13,275,0.0301,0.0881,0.0,Georgia
13,277,0.0368,0.0,0.0,Georgia
13,279,0.0,0.0,0.0,Georgia
13,281,0.0553,0.0,0.0,Georgia
13,283,0.0,0.0,0.0,Georgia
