STATE,COUNTY,B20004_006E,B20004_003E,B20004_001E,STATE_NAME,B23013_001E,B23020_001E,B19083_001E,B22008_003E,B22008_002E,B25058_001E,B25071_001E,B25077_001E,tract_count,top5_count,top5_pct,consistently_missing
51,119,0.0995,0.1938,0.545,Virginia,0.6236,0.572,0.5197,0.4736,0.1082,0.2199,0.3437,0.3597,5,11,1.0,True
22,23,0.1105,0.323,0.9083,Louisiana,1.0392,0.9532,0.8661,0.7893,0.0902,0.3664,0.5728,0.5994,3,11,1.0,True
15,5,0.1658,0.4846,1.3626,Hawaii,1.5589,1.4299,1.2992,1.184,0.1353,0.5497,0.8592,1.7985,2,11,1.0,True
37,95,0.1658,0.6461,1.8169,North Carolina,2.0787,1.9067,1.7324,1.5788,0.0902,0.7329,1.1457,1.199,3,11,1.0,True
48,261,0.1658,0.4846,1.3626,Texas,1.5589,1.4299,1.2992,1.184,0.1353,0.5497,0.8592,0.8992,2,11,1.0,True
26,83,0.1105,0.6461,1.8169,Michigan,2.0787,1.9067,1.7324,1.5788,0.0902,0.7329,1.1457,1.199,3,11,1.0,True
51,133,0.0829,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.1353,0.2748,0.4296,0.4496,4,10,0.91,False
12,29,0.1658,0.2423,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,10,0.91,False
27,31,0.0553,0.323,0.9083,Minnesota,1.0392,0.9532,0.8661,0.7893,0.0902,0.3664,0.5728,0.5994,3,10,0.91,False
51,735,0.0415,0.4846,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.1015,0.2748,0.4296,0.4496,4,10,0.91,False
13,191,0.1326,0.3876,1.0901,Georgia,1.2472,1.1439,1.0394,0.9472,0.0541,0.4397,0.6874,0.7194,5,10,0.91,False
26,131,0.1244,0.2423,0.6813,Michigan,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,10,0.91,False
47,161,0.0995,0.3876,1.0901,Tennessee,1.2472,1.1439,1.0394,0.9472,0.0541,0.4397,0.6874,0.7194,5,10,0.91,False
13,183,0.1105,0.323,0.9083,Georgia,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,10,0.91,False
48,71,0.0711,0.2769,0.7786,Texas,0.8908,0.8171,0.7424,0.6765,0.0966,0.3141,0.491,0.5138,7,10,0.91,False
28,143,0.1105,0.323,0.9083,Mississippi,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,10,0.91,False
8,14,0.0276,0.2153,0.4543,Colorado,0.5198,0.4767,0.4332,0.3947,0.1052,0.1833,0.2865,0.2998,18,10,0.91,False
51,115,0.0553,0.323,0.9083,Virginia,1.0392,0.9532,0.8661,0.7893,0.0902,0.3664,0.5728,0.5994,3,10,0.91,False
4,12,0.0921,0.5384,0.3028,Arizona,0.3464,0.3177,0.2887,0.2631,0.0601,0.3664,0.1909,0.1998,9,9,0.82,False
12,123,0.0663,0.1938,0.545,Florida,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
25,7,0.0663,0.3876,0.545,Massachusetts,0.6236,0.572,0.5197,0.4736,0.0812,0.2199,0.3437,0.3597,5,9,0.82,False
55,51,0.0415,0.2423,0.6813,Wisconsin,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
12,45,0.0829,0.2423,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
25,19,0.0553,0.1616,0.4543,Massachusetts,0.5198,0.4767,0.4332,0.3947,0.1127,0.3664,0.5728,0.2998,6,9,0.82,False
55,61,0.0332,0.1938,0.545,Wisconsin,0.6236,0.572,0.5197,0.4736,0.0271,0.2199,0.3437,0.3597,5,9,0.82,False
53,55,0.0332,0.1938,0.545,Washington,0.6236,0.572,0.5197,0.4736,0.0271,0.2199,0.3437,0.3597,5,9,0.82,False
48,7,0.1382,0.1616,0.4543,Texas,0.5198,0.4767,0.4332,0.3947,0.0451,0.1833,0.2865,0.2998,6,9,0.82,False
51,135,0.0415,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
26,1,0.1105,0.1616,0.4543,Michigan,0.5198,0.4767,0.4332,0.3947,0.0226,0.1833,0.2865,0.2998,6,9,0.82,False
12,37,0.0553,0.4846,0.9083,Florida,1.0392,0.9532,0.8661,0.7893,0.0676,0.3664,0.5728,0.5994,6,9,0.82,False
26,3,0.0415,0.2423,0.6813,Michigan,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
51,131,0.0415,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.0676,0.2748,0.4296,0.4496,4,9,0.82,False
12,43,0.0415,0.4846,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
45,53,0.0663,0.1938,0.545,South Carolina,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
15,7,0.039,0.228,0.6412,Hawaii,0.7336,0.6729,0.6114,0.5572,0.0637,0.2587,0.4043,0.4232,17,9,0.82,False
37,137,0.0663,0.1938,0.545,North Carolina,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
21,221,0.0663,0.3876,1.0901,Kentucky,1.2472,1.1439,1.0394,0.9472,0.0812,0.6596,1.0311,0.7194,5,9,0.82,False
27,75,0.0415,0.2423,0.6813,Minnesota,0.7795,0.715,0.6496,0.592,0.0676,0.2748,0.4296,0.4496,4,9,0.82,False
22,75,0.0921,0.2153,0.3028,Louisiana,0.3464,0.3177,0.2887,0.2631,0.0301,0.4886,0.5728,0.1998,9,9,0.82,False
26,153,0.0829,0.2423,0.6813,Michigan,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
48,57,0.0829,0.323,0.4543,Texas,0.5198,0.4767,0.4332,0.3947,0.0451,0.1833,0.2865,0.2998,6,9,0.82,False
51,103,0.0415,0.2423,0.6813,Virginia,0.7795,0.715,0.6496,0.592,0.0676,0.5497,0.4296,0.4496,4,9,0.82,False
8,43,0.0592,0.2077,0.1946,Colorado,0.2226,0.4087,0.5568,0.5075,0.0483,0.2356,0.3683,0.3854,14,9,0.82,False
21,143,0.0553,0.323,0.9083,Kentucky,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,9,0.82,False
26,33,0.0622,0.1817,0.511,Michigan,0.5846,0.5362,0.812,0.74,0.0507,0.3435,0.537,0.562,16,9,0.82,False
37,173,0.0332,0.1938,0.545,North Carolina,0.6236,0.572,0.5197,0.4736,0.0271,0.2199,0.3437,0.3597,5,9,0.82,False
51,155,0.0497,0.1938,0.545,Virginia,0.6236,0.572,0.5197,0.4736,0.0676,0.2199,0.3437,0.3597,10,9,0.82,False
51,1,0.0553,0.323,0.9083,Virginia,1.0392,0.9532,0.8661,0.7893,0.0676,0.3664,0.5728,0.5994,12,9,0.82,False
12,65,0.0415,0.2423,0.6813,Florida,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
26,13,0.0553,0.323,0.9083,Michigan,1.0392,0.9532,0.8661,0.7893,0.0451,0.3664,0.5728,0.5994,3,9,0.82,False
26,95,0.0829,0.4846,1.3626,Michigan,1.5589,1.4299,1.2992,1.184,0.0676,0.5497,0.8592,0.8992,4,9,0.82,False
24,35,0.0355,0.2077,0.584,Maryland,0.6682,0.6129,0.5568,0.5075,0.0773,0.2356,0.3683,0.3854,14,9,0.82,False
15,1,0.073,0.3489,0.9265,Hawaii,1.0601,0.9723,0.8835,0.8051,0.0704,0.3738,0.5843,0.6115,50,9,0.82,False
26,11,0.0711,0.2769,0.7786,Michigan,0.8908,0.8171,0.7424,0.6765,0.0387,0.3141,0.491,0.5138,7,9,0.82,False
2,198,0.0415,0.2423,0.6813,Alaska,0.7795,0.715,0.6496,0.592,0.0338,0.2748,0.4296,0.4496,4,9,0.82,False
12,129,0.0332,0.1938,0.545,Florida,0.6236,0.572,0.5197,0.4736,0.0541,0.2199,0.3437,0.3597,5,9,0.82,False
